seq_num,add_order_id,add_side,add_price,add_qty,update_order_id,update_side,update_price,update_qty,delete_order_id,delete_side,trade_order_id,trade_side,trade_price,trade_qty,time
1627942268920677083,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:20.014379 UTC
1627942268920677084,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.014684 UTC
1627942268920677085,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:20.014704 UTC
1627942268920677086,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.014957 UTC
1627942268920677088,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.01534 UTC
1627942268920677087,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:20.014976 UTC
1627942268920677089,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:20.015382 UTC
1627942268920677090,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.016178 UTC
1627942268920677091,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:20.016197 UTC
1627942268920677092,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.016451 UTC
1627942268920677093,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:20.016493 UTC
1627942268920677094,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.166082 UTC
1627942268920677096,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:20.239928 UTC
1627942268920677095,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:20.166125 UTC
1627942268920677097,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:20.239947 UTC
1627942268920677098,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:21.782987 UTC
1627942268920677099,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:21.783004 UTC
1627942268920677100,,,,,,,,,7457972527799646584,BUY,,,,,2021-08-03 07:18:46.324482 UTC
1627942268920677101,7457972527799646584,BUY,228.81,1000,,,,,,,,,,,2021-08-03 07:18:46.324505 UTC
1627942268920677102,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:46.324916 UTC
1627942268920677103,7457972527799646585,SELL,228.99,1000,,,,,,,,,,,2021-08-03 07:18:46.324958 UTC
1627942268920677104,,,,,,,,,7457972527799722057,SELL,,,,,2021-08-03 07:18:46.325034 UTC
1627942268920677106,7457972527799646585,SELL,229,1000,,,,,,,,,,,2021-08-03 07:18:46.326366 UTC
